season,venue,batting_team,bowling_team,final_score
2009,New Wanderers Stadium,Chennai Super Kings,Royal Challengers Bangalore,146
2009,New Wanderers Stadium,Deccan Chargers,Royal Challengers Bangalore,143
2010,Dr DY Patil Sports Academy,Kolkata Knight Riders,Deccan Chargers,161
2010,Brabourne Stadium,Mumbai Indians,Rajasthan Royals,212
2010,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,142
2010,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,135
2010,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,Chennai Super Kings,190
2010,"Sardar Patel Stadium, Motera",Rajasthan Royals,Delhi Daredevils,141
2010,M Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore,203
2010,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,164
2010,Feroz Shah Kotla,Mumbai Indians,Delhi Daredevils,218
2010,M Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,92
2010,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,185
2010,Barabati Stadium,Deccan Chargers,Kings XI Punjab,170
2010,"Sardar Patel Stadium, Motera",Rajasthan Royals,Kolkata Knight Riders,168
2010,Brabourne Stadium,Mumbai Indians,Royal Challengers Bangalore,151
2010,Barabati Stadium,Deccan Chargers,Delhi Daredevils,171
2010,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,Chennai Super Kings,136
2010,Brabourne Stadium,Kolkata Knight Riders,Mumbai Indians,155
2010,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,171
2010,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,Kings XI Punjab,183
2010,Brabourne Stadium,Chennai Super Kings,Mumbai Indians,180
2010,"Sardar Patel Stadium, Motera",Deccan Chargers,Rajasthan Royals,148
2010,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,Kings XI Punjab,183
2010,M Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore,183
2010,"Sardar Patel Stadium, Motera",Rajasthan Royals,Chennai Super Kings,177
2010,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers,172
2010,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,177
2010,Brabourne Stadium,Kings XI Punjab,Mumbai Indians,163
2010,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Chennai Super Kings,161
2010,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,188
2010,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,181
2010,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,181
2010,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Rajasthan Royals,246
2010,Brabourne Stadium,Mumbai Indians,Deccan Chargers,178
2010,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,200
2010,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,184
2010,"Vidarbha Cricket Association Stadium, Jamtha",Rajasthan Royals,Deccan Chargers,159
2010,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,165
2010,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,153
2010,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,181
2010,M Chinnaswamy Stadium,Royal Challengers Bangalore,Deccan Chargers,184
2010,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,Kings XI Punjab,154
2010,"Vidarbha Cricket Association Stadium, Jamtha",Chennai Super Kings,Deccan Chargers,138
2010,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,160
2010,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,111
2010,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,174
2010,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,Royal Challengers Bangalore,151
2010,Brabourne Stadium,Mumbai Indians,Delhi Daredevils,182
2010,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,Chennai Super Kings,139
2010,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,130
2010,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,112
2010,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Deccan Chargers,174
2010,M Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,191
2010,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders,132
2010,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Chennai Super Kings,192
2010,Feroz Shah Kotla,Deccan Chargers,Delhi Daredevils,145
2010,Eden Gardens,Mumbai Indians,Kolkata Knight Riders,133
2010,Dr DY Patil Sports Academy,Mumbai Indians,Royal Challengers Bangalore,184
2010,Dr DY Patil Sports Academy,Chennai Super Kings,Deccan Chargers,142
2010,Dr DY Patil Sports Academy,Deccan Chargers,Royal Challengers Bangalore,82
2010,Dr DY Patil Sports Academy,Chennai Super Kings,Mumbai Indians,168
2011,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,153
2011,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,137
2011,Nehru Stadium,Kochi Tuskers Kerala,Royal Challengers Bangalore,161
